absent-minded    roztargniony
board            tu: wejsc na poklad(statku,samolotu), wsiasc do (pociagu)
boat             statek, lodz
bomb             bomba, bombardowac
bookcase         szafka na ksiazki
booking-clerk    kasjer w kasie biletowej
booking-office   kasa biletowa
book             ksiazka, zeszyt
book             zakupic (bilety), zamowic (miejsca)
bored            znudzony
bottle           butelka
bought           imieslow bierny czasownika buy - kupowac
box              pudelko, skrzynka
boy              chlopiec
brag             przechwalac sie
brains           inteligencja, zdolnosci
brain            mozg
brave            dzielny
bread            chleb
breakfast        sniadanie
break out        wybuchnac
break up         rozpadac sie, rozwiazywac (sie), konczyc (sie)
break            imieslow bierny czasownika break - lamac, tluc, przerywac
break-down       awaria, zepsuc sie
breathe          oddychac
bridge           brydz
bring up         wychowywac
bring            przynosic, przyprowadzac
British          brytyjski
brother          brat
brought          imieslow bierny czasownika bring - przynosic, przyprowadzac
brown            brazowy
Brown            nazwisko
bump             wpadac (na kogos), wyrznac (w cos)
burnt            forma czasu Simple Past i imieslowu biernego czasownika: burn - palic sie, plonac 
burn             palic (sie), plonac
busy             zajety, zapracowany, ruchliwy
bus stop         przystanek autobusowy
bus              autobus
butter           maslo
but              ale
buy              kupowac
by               przy, przez
cad              cham, podly czlowiek
call for         wymagac, potrzebowac
calm             cichy, spokojny, spokoj, opanowanie, cisza
calm down        uciszyc, uspokoic
cap              czapka, czepek
capable          zdolny, sprawny
carriage         wagon, powoz
cause            powod, przyczyna, spowodowac
chaotic          chaotyczny, bezladny
chap             facet, typ, gosc
charcoal         wegiel drzewny
chemical         chemiczny
chose            forma czasu Simple Past czasownika: choose - wybrac
civilization     cywilizacja
classic          klasyk, klasyczny
cable            lina, kabel, poslac telegram zamorski
cake             ciasto, ciastko
camp             oboz
cancer           rak (choroba)
canteen          stolowka
canyon           kanion
can, I can       moge, umiem, potrafie
cape             przyladek
captain          kapitan
caravan          domek capmingowy na kolkach
cardinal         kardynal
card             karta
careful          uwazny, ostrozny, staranny
careleesnes      nieuwaga, niedbalstwo
carelees         nieuwazny, nieostrozny, niedbaly
car              samochod
case             teczka, walizka
cashier          kasjer
cash             gotowka, realizowac (czek), inkasowac
catedral         katedra
cat              kot
cause            powodowac
celebration      uroczystosc
central          centralny, srodkowy
century          wiek, stulecie
certainly        oczywiscie, z pewnoscia
certain          pewien, pewny
chair            krzeslo
change           zmiana
channel          kanal
character        charakter, postac (powiesci, sztuki)
charming         czarujacy
cheap            tani
cheerful         wesoly, pogodny
cheque           czek
children         dzieci
child            dziecko
chocolate        czakolada
choose           wybierac
chosen           imieslow bierny czasownika :choose - wybierac
church           kosciol
cigarette        papieros
clasp            klips, klamra
classroom        klasa (sala)
class            klasa, lekcja, kurs
cleaners         pralnia chemiczna
clean            czysty, czyscic
clearly          oczywiscie, wyraznie, jasno
clear            jasny, przejrzysty, uprzatnac, oproznic, oczyscic, rozjasnic
clutch           sprzeglo
coast            brzeg morza
coca-cola        koka-kola
colony           kolonia
comedy           komedia
clerk            urzednik
clever           sprytny , bystry
climate          klimat
clock            zegar
close            bliski, blisko
cloud            chmura
cncyclopaedia    encyklopedia
coach            autokar
coal             wegiel
cockpit          kabina pilota
cofee            kawa
coin             moneta
cold             przeziebienie, zimny
collar           kolnierz
collect          zbierac, odbierac
coloured         kolorowy
colouring        koloryt
colour           kolor
combination      kombonacja
come down        zejsc
come in          wejsc
come out         wyjsc
come up          wejsc na gore
come             imieslow bierny czasownika come - przyjsc, przybyc
come             przyjsc, przybyc
common           zwykly, powszechny
company          towarzystwo
compare          porownywac
compartment      przedzial
complete         calkowity
composer         kompozytor
composition      wypracowanie
condition        warunek
conference       konforencja
connect          laczyc
conquer          zdobyc, zwyciezyc
conquest         zdobycie, podboj
contact          kontakt
contain          zawierac
continent        kontynent
contrast         kontrast
control          regulowac, kierowac, sterowac
conveyor         przenosnik
cook             kucharz, kucharka, gotowac
copy             egzemplarz, kopia, przepisywac
cornflakes       platki kukurydziane
corn             zboze(w angielszczyznie brytyjskiej),kukurydza(w angielszczyznie amerykanskiej)
correct          poprawny
costume          kostium
cost             koszt, kosztowac
cottage          domek, chata
countryside      okolica
country          wies
count            liczyc
courage          odwaga
course,          w zwrocie: of course - oczywiscie, naturalnie
cousin           kuzyn, kuzynka
cover            nakryc, okryc, zakryc
creation         kreacja, twor
cricket          krykiet (gra sportowa)
cry              plakac, krzyczec
cultural         kulturalny
cupboard         szafa, kredens
cup              filizanka
cure             kuracja
customs          komora celna
custom           zwyczaj
cut              ciac, krajac
dad              tatus
dancer           tancerz, tancerka
dance            taniec, tanczyc
dare             smiec
daring           smialy
dark             ciemny
dash it          do licha
dash             rzucic sie, popedzic, cisnac
date             data, randka
daughter         corka
day              dzien
deal             w zwrocie: a great deal of - duzo
deal (with)      miec do czynienia (z)
dear             drogi, kochany, kochanie
December         grudzien
decent           porzadny
decision         decyzja
decorate         ozdabiac, odnawiac
definite         okreslony
dense            tepy, gesty
departure        odjazd
depressing       przygnebiajacy
describe         opisywac
desk             biurko
despotic         despotyczny
detailed         szczegolowy
devote           poswiecic
dictionary       slownik
die              umierac
diffikult        trudny
dining-room      jadalnia
dinner           obiad
direct           bezposredni
dirty            brudny
disappoint       rozczarowac, zawiesc
discovery        odkrycie
discover         odkryc
discrimination   dyskryminacja
discussion       dyskusja
distance         odleglosc
district         dzielnica, kraina
disturb          przeszkadzac, naruszac
diver            nurek
dive             nurkowac
divide           dzielic
diving-suit      kostium nurka
dock             dok
doctor           doktor
dog              pies
done             imieslow bierny czasownika do - robic, czynic
door             drzwi
double           podwojny
doubt            watpic
downstairs       na dole, na parterze
down             na dol, w dol, na dole
do               robic, czynic, nadac sie, wystarczyc
drawer           szuflada
drawn            imieslow bierny czasownika :draw - ciagnac, rysowac
draw             rysowac, ciagnac
dreadful         okropny
drein            spust, sciek, drenaz
dress            opatrywac rane
dress            suknia, ubierac (sie)
drew             czas Simple Past czasownika: draw - ciagnac, rysowac
drink            napoj, pic
driver           kierowca
drive            prowadzic pojazd mechaniczny
dry              suchy, suszyc
dull             nudny, tepy
duplicate        powielac
duty             obowiazek
each             kazdy
Eanglish         angielski
early            wczesnie, wczesny
earl             ksiaze, hrabia
earth            ziemia
ear              ucho
east             wschod, wschodni
easy             latwy
eaten            imieslow bierny czasownika eat - jesc
eat              jesc
economics        ekonomika
economic         gospodarczy, ekonomiczny
economy          ekonomia
Edinburgh        Edynburg
educate          ksztalcic, wychowywac
egg              jajko
eighteen         osiemnascie
eight            osiem
either           takze
electrical       elektryczny
eleven           jedenascie
empire           imperium
employer         pracodawca
endurance        wytrzymalosc, wytrwalosc
end              koniec, konczy sie
energy           energia
engineering      technika, inzynieria, sztuka inzynierska
enjoy onself     bawic sie
enough           dosc, dosyc
enter            wejsc
equal            rowny
equipment        wyposazenie, sprzet
escape           uciec, uniknac
especially       szczegolnie
European         europejski
evening          wieczor
even             nawet
everything       wszystko
everywhere       wszedzie
every            kazdy
examination      egzamin
examine          egzaminowac, badac
except           z wyjatkiem, oprocz
excess           nadmierny, stanowiacy nadwyzke
exchange         wymieniac
excited          podniecony, poruszony
excite           podniecac, pobudzic
exercise         cwiczenie
exercise-book    zeszyt
exhibition       wystawa
expedition       wyprawa
experience       doswiadczenie
exploit          wykorzystywac, wyzyskiwac
explosion        eksplozja, wybuch
express          wyrazic
eye              oko
face             twarz
factory          fabryka
failure          awaria, porazka, niepowodzenie
fair             jasny (o wlosach)
falls            wodospad
family           rodzina
farther          dalszy, dalej
far off          daleki, odlegly
far              daleko
fascinate        oczarowac
fashion          mada
fasten           przymocowac
fast             szybki, szybko
father           ojciec
fear             strach, obawiac sie
February         luty
feeling          uczucie
feel             czuc
felt             czas Simple Past i imieslow bierny czasownika: feel - czuc
festival         festiwal
fifteen          pietnascie
fifty            piecdziesiat
figure           figura, cyfra
fihgt            bic sie, walczyc
fill             napelniac (sie)
film             film
find             znalezc
finger           palec u reki
finish           konczyc
fire             ogien, pozar
first            pierwszy, najpierw
five             piec (liczba)
flat             mieszkanie
flew             czas Simple Past czasownika : fly - latac
flight           lot
flipper          pletwa
floor            podloga
floor            podloga, pietro
flourish         kwitnac, prosperowac
flower           kwiat
fly              latac
fog              mgla
fond             w zwrocie be fond of - bardzo lubic
foodball         pilka nozna
foolish          niemadry
footballer       pilkarz
forecast         przepowiednia
foreigner        cudzoziemiec
foreign          cudzoziemski, zagraniczny
forgive          przebaczyc
forgotten        imieslow bierny czasownika : forget - zapominac
form master      wychowawca klasy
form             klasa
fortunate        szczesliwy, pomyslny
for once         tym razem wyjatkowo
for              dla, na
fought           czas Simple Past i imieslow bierny czasownika: fight - walczyc, bic sie
found            inieslow bierny czasownika : find - znalezc
found            zalozyc
fourteen         czternascie
four             cztery
frame            rama
France           Francja
French           francuski
fresh            swiezy
Friday           piatek
fridge           lodowka
friendship       przyjazn
friend           przyjaciel, znajomy, przyjaciolka, znajoma
frighten         przestraszyc
from             od, z
future           przyszly, przyszlosc
games            sporty
game             gra
gardener         ogrodnik
garden           ogrod
geography        geografia
German           Niemiec, niemiecki
get up           wstawac
get              dostac sie, stac sie
gift             podarunek, prezent
girl             dziewczyna, dziewczynka
give up          ustapic, zaniechac, zrezygnowac z
give             dawac
glad             zadowolony, rad
glasses          okulary
glass            szklanka
Godness!         Ojej!
golden           zloty, zlocisty
gone             imieslow bierny czasownika  go - isc, udac sie
Goodness me!     Ojej!
goodness         dobroc
good             dobry, dobrze
good-bye         do widzenia
good-humoured    dobroduszny, pogodny
good-looking     przystojny
gosh!            O do licha!
got              imieslow bierny czasownika  get - dostac sie, stac sie
government       rzad
go               isc, udac sie
grammar school   szkola srednia ogolnoksztalcaca
grammar          gramatyka
grateful         wdzieczny
green            zielony
grey             szary
ground           ziemia, podstawa
group            grupa
grumble          narzekac
guest            gosc
guide            przewodnik
guild            gildia
had              imieslow bierny czasownika have - miec
hair             wlosy
hair-do          uczesanie, fryzura
half             polowa, pol
half-timbered    na pol drewniany
hallo            wyraz uzywany jako przywitanie
handbag          torebka damska
hand             reka,  dlon
happy            szczesliwy
harbour          port
hard             twardy, ciezki, ciezko, usilnie, bardzo
has              forma 3. osobyl.pojedynczej czasu Present Simple czasownika have - miec
hat              kapelusz
have a good time dobrze sie bawic
have a look      spojrzec
have a rest      odpoczac
have friends in  przyjmowac gosci
have             miec
headmaster       dyrektor szkoly, kierownik szkoly
head             glowa
health           zdrowie
heard            imieslow bierny czasownika hear - slyszec
heart            serce
hear             slyszec
heavy            ciezki
height           wysokosc
held             czas Simple Past i imieslow bierny czasownika: hold - trzymac
Helen            Helena
help oneself     nabrac potrawe, poczestowac sie     
help             pomoc, pomagac
Henry            Henryk
Here we are      prosze, oto jest, oto mamy
Here you are     masz,prosze
here             tutaj
herself          (ona) sie, siebie, sobie, soba
hers             jej
her              jej, niej, ja, nia
he               on
hill             wzgorze
himself          (on) sie, siebie, sobie, soba
him              jego, go, niego, jemu, mu, nim 
hint             rada, wskazowka, aluzja
hippies          hipisi
history          historia
his              jego
hockey           hokej
hold             trzymac
hole             dziura
holiday          swieto, wakacje, urlop
homework         zadana lekcja
home             dom
hopeless         beznadziejny
hop              chmiel
hop-picking      zbior chmielu
horror           groza, okropnosc
hostel           dom studencki, schronisko
hostess          gospodyni
hotel            hotel
hour             godzina
housekeeping     gospodarstwo domowe
housework        zajecia gospodarskie (domowe)
house            dom, budynek
however          jednak
how              jak
humour           humor
hungry           glodny
hunt             polowac
ice              lod
ice-cold         zimny jak lod
idiotic          idiotyczny
idiot            idiota
idol             bostwo
ignorant         ignorancki, nieswiadomy
ill              chory
imagination      wyobraznia
imagine          wyobrazic sobie
immigrant        imigrant
impatient        niecierpliwy
impersonal       bezosobowy, nieosobisty
impose           narzucic
impression       wrazenie
impressive       udezajacy, wywierajacy wrazenie
impress          zrobic wrazenie (na kims)
indeed           naprawde, rzeczywiscie
indefinite       nieokreslony
Indian           Indianin, Hindus, indyjski, indianski
indirect         posredni
industry         przemysl
influence        wplyw
inside           wewnatrz, wewnetrzny
instead          zamiast, zamiast tego
institute        instytut
instructor       instruktor
intelligence     inteligencja
intelligent      inteligentny
interested       zainteresowany
interest         zainteresowanie
international    miedzynarodowy
interpreter      tlumacz
interrupt        przerywac
introduce        wprowadzic, przedstawic
introduction     wstep,wprowadzenie,pezdstawienie
intuition        intuicja
invite           zaprosic
in the meantime  tymczasem
in               w
iron             zelazo, prasowac
irritation       irytacja
island           wyspa
is               forma 3. osoby czasu Present Simple  czasownika be - byc
itself           (ono) sie, siebie, sobie,soba
its              jego
it               ono, to
I like           podoba mi sie
I                ja
jacket           kurtka
Jane             Janina
January          styczen
jazz             dzez
jet plane        samolot odrzutowy
jet              strumien (wody, pary itp)
job              robota, zajecie, zawod, posada
John             Jan
joke             zart, zartowac
journalistic     dziennikarski
journalist       dziennikarz
July             lipiec
June             czerwiec
just             wlasnie, akurat
keen on          zapalony do (czegos)
keen             zywy, ostry
kill             zabic
kind             rodzaj
kitchen          kuchnia
knife            noz
knives           l. mnoga rzeczownika: knife - noz
knock            stukanie, stukac
knowledge        wiedza, znajomosc, swiadomosc
know             wiedziec, znac, umiec
laboratory       laboratorium
labourer         robotnik
lady             pani, dama
lake             jezioro
lamp             lampa
land             lad, ziemia
language         jezyk
last             ostatni
last             trwac 
late             pozny, pozno
laugh            smiac sie
learnt           imieslow bierny czasownika learn - uczyc sie
learn            uczyc sie
leave out        pominac, opuscic
legend           legenda
leg              noga
lend             pozyczyc (komus)
lesson           lekcja
letter           list, litera
let              dac, pozwolic
library          biblioteka
light            lekki, jasny
likeness         podobienstwo
like             lubic
limited          ograniczony
listen           sluchac
list             lista
little           maly, troche
live             mieszkac, zyc
living-room      salonik
London           Londyn
lonely           samotny
long             dlugi, dlugo
look forward     oczekiwac niecierpliwie, cieszyc sie na mysl o (czyms)
look for...      szukac
Look here        sluchaj no !
look             spojrzenie, wyglad, patrzec
loose            luzny, wolny
lord             lord
lot              los
lot              w zwrocie a lot of - duzo
lound-speaker    glosnik
lounge           hall, poczekalnia
lovely           sliczny
love             kochac
low              niski, nisko, cichy, cicho
lucky            szczesliwy
lunch            obiad
made             imieslow bierny czasownika make - robic, sporzadzac
mad              szalony
magic            czarodziejski
magizine         czasopismo
main             glowny
maker            wytworca
make up a quarrel   pogodzic sie
make up one's mind  zdecydowac, postanowic
make up          wchodzic w sklad
make             robic, sporzadzac
manager          zarzadzajacy, kierownik przedsiebiorstwa lub dzialu
manage           zdolac, zarzadzac
many             duzo
man              czlowiek, mezczyzna
map              mapa, plan
March            marzec
Mary             Maria, Marysia
mask             maska
mass production  produkcja masowa
mass             masa
masterpiece      arcydzielo
master           nauczyciel, pan
material         material
maths            matematyka
mayor            burmistrz
May              maj
maze             labirynt
meantime         tymczasem
meant            forma Simple Past i Past Participle czasownika: mean - znaczyc
mechanisation    mechanizacja
medical student  student medycyny
medical          medyczny
meet             spotkac, poznac
memorial         cos, co sluzy do przypominania wydarzenia lub osoby, np. pomnik
mend             naprawiac
men              mezczyzni
men              mezczyzni
metal            metal
method           metoda
me               mnie, mi mna
middle           srodek, srodkowy
Mike             Michas
milk             mleko
mind             umysl, zwazac, miec cos przeciw
miner            gornik
mine             kopalnia
mine             moj
minute           minuta
Miss             panna, (wyraz uzywany z nazwiskiem kobiety niezameznej)
mistake          blad
mixed            mieszany
model            model, wzorowy
modernize        unowoczesnic
modern           nowoczesny
moment           moment, chwila
Monday           poniedzialek
money            pieniadze
more             wiecej, bardziej
morning          rano, ranek
mostly           glownie
most             najwiecej, najbardziej,wiekszosc
motel            motel
mother           matka
motor-car        samochod
Mounth           miesiac
mount            gora (uzywane przed nazwa, (np. Mount Everest)
mouth            usta
movement         ruch
move             ruszac sie, przeprowadzac sie, przesuwac
Mrs.             pani
Mr.              pan
much             duzo
muddled          skolowany
mummy            mamusia
must, I must     musze
myself           (ja) sie, siebie, sobie, (ja) sam
mysterious       tajemniczy
My goodness!     Ojej!
my               moj
naked            nagi
name             imie, nazwisko, nazwa
nation           narod
nature           natura, przyroda
nearby           pobliski, blisko
near             bliski, blisko
needless         niepotrzebny
needle           igla
need             potrzebowac
neighbouring     sasiedni
neighbour        sasiad, sasiadka
neither          ani
never mind       mniejsza o to
never            nigdy
newspaper        gazeta
new              nowy
next to          obok
next             nastepny, nastepnie
nicely           milo, ladnie
nice             mily, ladny
night            noc
nineteen         dziewietnascie
nine             dziewiec
noise            halas
nonsense         glupstwo 
non-stop         bez zatrzymania, nieprzerwany
normal           normalny
nor              ani
note down        zanotowac
note             banknot
notice           zauwazyc
not              nie
noun             rzeczownik
November         listopad
nowhere          nigdzie
no               nie
nuisance         cos, co przysparza klopotu
nursery          zlobek
oast-house       syszarnia chmielu
object           dopelnienie (gram.)
observe          zachowywac (o obyczajach)
obvious          oczywisty
occasional       przypadkowy
ocean            ocean
October          pazdziernik
office           biuro, urzad
office           urzad
of               przyimek wystepujacy w przydawce dopelniaczowej
oh               och
oil              nafta
once, at once    natychmiast
one-sided        jednostronny
only             tylko
on time          punktualnie
opportunity      okazja
orchard          sad
orchestra        orkiestra
origin           pochodzenie
ourselves        (my) sie, siebie, sobie, soba, (my) sami
ours             nasz
our              nasz
outside          na zewnatrz
overhear         podsluchac
overlook         nie dostrzegac
overwork         przepracowywac sie
owner            wlasciciel
o'clock          godzina
O.K.             dobrze, zgoda
packet           paczka
page             stronica
painful          bolesny
palace           palac
park             park, parkowac samochod
particularly     szczegolnie
party            grupa
passenger        pasazer
passion          gwaltowne uczucie
passport         paszport
patch            lata
patient          cierpliwy
peaceful         pokojowy
peace            pokoj
peak             wierzcholek
pear             gruszka
pencil           olowek
penny            pens
pen              pioro
people           ludzie
perfectly        calkowicie, doskonale
performance      przedstawienie
perhaps          moze
personal         osobisty
person           osoba
persuade         przekonac
petrol           benzyna
pianist          pianista
pick             zrywac
picturesque      malowniczy
pictur           obraz
pilo             pilotowac
pink             rozowy
pioneer          pionier
place            miejsce, dom, mieszkanie, lokal
plan             plan
plate            talerz
pleasant         mily, ladny
point            punkt
pole             biegun
polish up        wypolerowac
pool             basen, sadzawka
poor             biedny
population       ludnosc
post-war         powojenny
pot              dzbanek
prefer           wolec
present          ofiarowac
pretend          udawac
pretty           piekny
price            cena
prison           wiezienie
procession       pochod
process          proces
production       produkcja,wytworczosc
product          produkt
profile          profil
programme        program
project          plan, zadanie
properly         odpowiednio, wlasciwie
protect          chronic
prove            dowiesc, wykazac
publish          oglosic, wydac
punctuality      punktualnosc
put off          unikac, wykrecac sie
put together     zlozyc w jedna calosc
put              klasc
qality           jakosc, wlasciwosc
quarter          dzielnica
question         pytanie
quickly          predko
quick            predki
quite            calkiem
racial           rasowy
racket           rakieta
radioactive      radioaktywny
railway          kolej
raincoat         plaszcz od deszczu
rang             forma Simple Past czasownika: ring - dzwonic
rather           dosyc, raczej
reach            dotrzec
reader           czytelnik
ready            gotowy
realize          zdawac sobie sprawe
really           naprawde
reason           przyczyna
rebuild          odbudowac
reception clerk  recepcjonista
reception        recepcja
recital          recital
recognize        rozpoznac
reconstruction   odbudowa
record           plyta gramofonowa
record-player    adapter
reduce           zmniejszyc
red              czerwony
regular-ly       staly, planowy, stale, w rownych odstepach czasu
rehearsal        proba
relation         krewny
remarkable       niezwykly
remember         pamietac
remind           przypominac
rent             komorne, czynsz
repairs          naprawa, remont
report           zglosic sie, zlozyc sprawozdanie
request          prosic, zadac, prosba, zadanie
rescue           ratowac, ratunek
reservation      rezerwacja (np. miejsca w pociagu)
return           powrot, powrotny
rich             bogaty
all right        w porzadku, dobrze, zgoda
rise             podnosic sie, wstawac, wzrastac
risk             ryzykowac, narazac
rocky            skalisty
roof             dach
round            okragly
route            trasa
row              klotnia, awantura
rubbish          nonsens, glupstwo
rule             regula, przepis
runway           pas startowy
run along        pobiec
rural            wiejski
rush             ped, pospiech
safety           bezpieczenstwo
safe             bezpieczny
sailor           marynarz, zeglarz
sail             plywac zaglowka
sank             forma Simple Past czasownika: sink - zatonac
satisfy          zadowolic (sie), sprawic przyjemnosc
Saturday         sobota
sat              forma Simple Past i Past Participle czasownika: sit - siedziec
scale            skala
scene            scena (sztuki)
school           szkola
scientific       naukowy
scientist        naukowiec (w dziedzinie nauk scislych)
scissors         nozyczki
scold            lajac, upominac
score            zdobywac (punkty)
Scotland         Szkocja
screw-driver     srubokret
seaside          wybrzeze morskie
seaweed          wodorosty morskie
sea              morze
second-hand      uzywany
secretary        sekretarka
seek             poszukiwac
seem             wydawac sie
seldom           rzadko
self-evident     oczywisty
sell             sprzedawac
senible          rozsadny
sentence         zdanie
sentimental      sentymentalny
separate         rozlaczyc, dzielic
September        wrzesien
serious          powazny
seven            siedem
several          kilka, kilkanascie
shake            potrzasac
shape            ksztalt
share            brac udzial, dzielic
she              ona
shoes            buty
shoping          zakupy
short            o osobie: niskiego wzrostu
shout            krzyczec, krzyk
show round       oprowadzac
shut             zamykac
sick             chory
sight-seeing     zwiedzanie
silly            niemadry
silver           srebro
since            poniewaz, skoro
single           jedyny, pojedynczy,( o bilecie w jedna strone)
sink             tonac, zanurzac (sie)
sir              pelna szacunku forma zwracania sie do mezczyzny, tytul arystokratyczny
sister           siostra
site             w zwrocie camping site - pole, na ktorym mozna rozbijac namioty 
situated         polozony
situation        sytuacja
sit              siedziec
skirt            spodnica
skyscraper       drapacz chmur
slide            przezrocze
slip out         wymknac sie
slow             powolny
small            maly
smell            czuc zapach, wachac, zapach
smile            usmiechac sie, usmiech
snap             chwytac, lapac, warknac
socialist        socjalista, socjalistyczny
sold             Forma Simple Past i Past Participle czasownika: sell - sprzedac
solidier         zolnierz
solution         rozwiazanie, wyjscie z sytuacji
somehow          jakos
sore             obolaly
sound            brzmiec, dzwiek
south            poludnie
spell            podawac kolejno litery ,z ktorych sklada sie wyraz
sometimes        czasami
some             kilka
song             piosenka
son              syn
soup             zupa
spaceship        pojazd kosmiczny
speak            mowic
spend            spedzac czas, wydawac pieniadze
spent            imieslow bierny czasownika spend - spedzac czas, wydawac
sport            sport
spring           wiosna
spring           zrodlo
standart         poziom, miara doskonalosci
standart of living stopa zyciowa
stare            wpatrywac sie
state            stan
stay             pobyt
stiff            sztywny
stood            forma Simple Past i Past Participle czasownika: stand
straight         prosty, prosto
stretch          rozciagnac, wyciagnac, rozprostowac
strict           stanowczy
strong           sillny
stuffy           duszny
subway           (ameryk.) kolej podziemna
successfull      uwienczony powodzeniem, majacy powodzenie
suffer           cierpiec
suggest          proponowac
suggestion       propozycja
supersonic       ponaddzwiekowy
surprised        zdziwiony, zaskoczony
swam             forma Simple Past czasownika: swim - plywac
swimming pool    basen plywacki
symfony          symfonia
stage            scena w teatrze
stand            stac
station          stacja, dworzec
stay             przebywac, zostawac
still            wciaz jeszcze, jeszcze, ciagle, nadal
